Tên Ảnh,Biển Số,Độ Tin Cậy,Thời Gian
1.jpg,53L-187760,0.5556650757789612,2025-12-16 15:38:04
1.jpg,53L-187760,0.32090702652931213,2025-12-16 15:38:06
100.jpg,54U-52813,0.3713836073875427,2025-12-16 15:38:09
101.jpg,72C-1172511,0.29898273944854736,2025-12-16 15:38:12
103.jpg,84C-122593,0.45737266540527344,2025-12-16 15:38:14
104.jpg,59LI97457,0.3578904867172241,2025-12-16 15:38:17
107.jpg,72C-112511,0.4655829966068268,2025-12-16 15:38:22
108.jpg,94HL1831,0.3561093807220459,2025-12-16 15:38:24
109.jpg,60B-734176,0.6884565949440002,2025-12-16 15:38:27
109.jpg,60B-734176,0.5157631635665894,2025-12-16 15:38:30
109.jpg,60B-734176,0.43724289536476135,2025-12-16 15:38:31
11.jpg,54S-89169,0.6323562264442444,2025-12-16 15:38:33
110.jpg,59S-1J4A0C,0.703100323677063,2025-12-16 15:38:36
111.jpg,37H-107918,0.46205559372901917,2025-12-16 15:38:39
112.jpg,72C-136087EEN,0.3327832818031311,2025-12-16 15:38:44
113.jpg,59K-190300,0.37867358326911926,2025-12-16 15:38:47
12.jpg,59K-190300,0.2540317177772522,2025-12-16 15:38:53
14.jpg,54U-57001,0.7196303009986877,2025-12-16 15:38:56
15.jpg,68H-7L2130E5N,0.5081450939178467,2025-12-16 15:39:00
15.jpg,68H-7L213,0.3299875557422638,2025-12-16 15:39:03
17.jpg,67BI81846,0.3082282543182373,2025-12-16 15:39:09
18.jpg,60B-523557,0.6848228573799133,2025-12-16 15:39:12
2.jpg,59S-235205,0.57506263256073,2025-12-16 15:39:16
2.jpg,59S-235205,0.3185955882072449,2025-12-16 15:39:17
20.jpg,59D-166974,0.6617037653923035,2025-12-16 15:39:20
20.jpg,59D-166974,0.25298333168029785,2025-12-16 15:39:21
21.jpg,60B-531402,0.5718088746070862,2025-12-16 15:39:24
22.jpg,59C-165331,0.7592885494232178,2025-12-16 15:39:29
23.jpg,65F-131532,0.5610061287879944,2025-12-16 15:39:32
24.jpg,60B-152122,0.58460932970047,2025-12-16 15:39:35
25.jpg,54S-1631,0.6345909833908081,2025-12-16 15:39:36
25.jpg,54S-16312,0.32384082674980164,2025-12-16 15:39:38
27.jpg,59BL00002,0.6405190825462341,2025-12-16 15:39:45
28.jpg,SAT-51LL1138,0.4849834144115448,2025-12-16 15:39:50
29.jpg,51L-3998,0.36477911472320557,2025-12-16 15:39:52
3.jpg,59C-152610,0.699590265750885,2025-12-16 15:39:53
3.jpg,59C-152610,0.49323955178260803,2025-12-16 15:39:55
30.jpg,60B-801075,0.45954057574272156,2025-12-16 15:39:59
30.jpg,60B-801075,0.4161222279071808,2025-12-16 15:40:02
31.jpg,52HG9892,0.30945438146591187,2025-12-16 15:40:04
32.jpg,59X-268327,0.6848456263542175,2025-12-16 15:40:05
32.jpg,59K-268327,0.5219897031784058,2025-12-16 15:40:08
34.jpg,59HI330466,0.5722524523735046,2025-12-16 15:40:16
35.jpg,49B-131215,0.3281121850013733,2025-12-16 15:40:20
36.jpg,59S-208082DCMEN,0.6138274073600769,2025-12-16 15:40:23
36.jpg,59S-208082,0.2893950343132019,2025-12-16 15:40:29
38.jpg,59FI68955,0.4845498204231262,2025-12-16 15:40:36
39.jpg,059C165331,0.2897806465625763,2025-12-16 15:40:38
4.jpg,67B-781846,0.26225894689559937,2025-12-16 15:40:42
40.jpg,59U-139619,0.7628359794616699,2025-12-16 15:40:45
41.jpg,59E-164239,0.5687705278396606,2025-12-16 15:40:47
43.jpg,BL-734900,0.4043598771095276,2025-12-16 15:40:51
44.jpg,71S-35016,0.3783213496208191,2025-12-16 15:40:52
47.jpg,59MI03519,0.7029795050621033,2025-12-16 15:40:56
47.jpg,59M-103519,0.3783527612686157,2025-12-16 15:40:58
48.jpg,72FI20741,0.65451979637146,2025-12-16 15:41:00
5.jpg,54S-22148,0.2850847840309143,2025-12-16 15:41:06
52.jpg,59FL49271,0.6444681286811829,2025-12-16 15:41:09
53.jpg,52U-78693,0.282372385263443,2025-12-16 15:41:12
55.jpg,59B-134917,0.6815968155860901,2025-12-16 15:41:17
55.jpg,59B-134917,0.5043050050735474,2025-12-16 15:41:18
56.jpg,59S-2165551,0.49289536476135254,2025-12-16 15:41:21
57.jpg,59U-135226,0.6756846904754639,2025-12-16 15:41:24
59.jpg,59HN05214,0.26117825508117676,2025-12-16 15:41:28
60.jpg,85DI01611,0.49303245544433594,2025-12-16 15:41:33
62.jpg,66PI5739,0.4489269554615021,2025-12-16 15:41:35
62.jpg,66PI5739,0.3729577362537384,2025-12-16 15:41:38
64.jpg,59V-184031JNECN5,0.8366854190826416,2025-12-16 15:41:42
65.jpg,54L-24264,0.5226353406906128,2025-12-16 15:41:44
65.jpg,54LZL264,0.4200623333454132,2025-12-16 15:41:47
67.jpg,86B-319858,0.6586890816688538,2025-12-16 15:41:49
69.jpg,607L6482,0.35984575748443604,2025-12-16 15:41:52
7.jpg,59EI13412,0.7714033722877502,2025-12-16 15:41:57
7.jpg,59E-113412,0.3011888563632965,2025-12-16 15:41:58
7.jpg,59EE113412,0.2529147267341614,2025-12-16 15:41:58
70.jpg,59U-170392,0.35766053199768066,2025-12-16 15:42:02
70.jpg,59UI70392,0.2758707106113434,2025-12-16 15:42:03
71.jpg,37H-107918,0.3558398187160492,2025-12-16 15:42:06
71.jpg,31M-07918,0.3072648346424103,2025-12-16 15:42:10
75.jpg,305L77F1,0.4106646478176117,2025-12-16 15:42:15
76.jpg,68F-55721,0.353346586227417,2025-12-16 15:42:19
77.jpg,60BE13705,0.6078025102615356,2025-12-16 15:42:22
78.jpg,59C-165331,0.6081755757331848,2025-12-16 15:42:24
78.jpg,59C-165331,0.40232136845588684,2025-12-16 15:42:25
8.jpg,59Y-1L4665,0.7057651877403259,2025-12-16 15:42:29
8.jpg,59Y-1L4665,0.2535345256328583,2025-12-16 15:42:30
81.jpg,59U-139619,0.6782474517822266,2025-12-16 15:42:32
82.jpg,SYL-211894,0.8154604434967041,2025-12-16 15:42:37
83.jpg,W8TL2872,0.4000187814235687,2025-12-16 15:42:39
84.jpg,59K-154497,0.2819049656391144,2025-12-16 15:42:43
86.jpg,54S-55036,0.2681805193424225,2025-12-16 15:42:45
86.jpg,54S-55036,0.2501760721206665,2025-12-16 15:42:46
87.jpg,59T-108264,0.670016884803772,2025-12-16 15:42:47
87.jpg,59T-108264,0.30596923828125,2025-12-16 15:42:48
88.jpg,59H-746704,0.3772266209125519,2025-12-16 15:42:51
88.jpg,59HI46704,0.35181131958961487,2025-12-16 15:42:54
89.jpg,59P-141918,0.29697293043136597,2025-12-16 15:42:57
9.jpg,59VZ16023,0.6259917616844177,2025-12-16 15:43:00
90.jpg,59E-1215001,0.6607106328010559,2025-12-16 15:43:03
91.jpg,59C-165331,0.508277952671051,2025-12-16 15:43:04
92.jpg,59C-162293,0.7303415536880493,2025-12-16 15:43:07
94.jpg,959B131149,0.2733898162841797,2025-12-16 15:43:10
96.jpg,59V-200285,0.31813234090805054,2025-12-16 15:43:14
97.jpg,59H-119374,0.43211686611175537,2025-12-16 15:43:17
97.jpg,59H-119374,0.3068004846572876,2025-12-16 15:43:18
98.jpg,85FI00412,0.37259605526924133,2025-12-16 15:43:24
99.jpg,63B-957926,0.2804664075374603,2025-12-16 15:43:26
